SPXT,EAFE,LTR,REIT,GSCI
1727.4905,3076.402,1168.109,6274.28,5856.56
1782.4568,3077.889,1189.045,6491.75,5813.64
1784.9873,3118.731,1194.179,6818.11,6150.56
1851.3678,3214.338,1171.207,7304.67,6488.55
1834.476,3295.552,1195.654,7037.59,7471.14
1849.3341,3442.342,1176.232,7079.51,7472.48
1818.5043,3341.806,1164.374,6912.01,6700.94
1887.2839,3423.533,1170.845,7203.25,6443.1
1887.9409,3582.843,1184.358,7188.84,6627.92
1937.9294,3802.825,1178.409,7714.01,6915.18
1943.1876,3794.413,1178.331,7852.02,6216.45
1967.3755,3919.471,1166.407,8248.59,6535.38
1993.7931,4106.66,1161.871,7942.04,6949.29
1936.4089,3947.183,1161.755,7715.96,6895.81
1939.0341,3946.922,1165.911,8117.39,6975.97
1950.995,3985.992,1184.154,8391.19,7115.85
1997.4153,4095.586,1204.296,8708.79,6599.42
2048.8887,4101.918,1217.113,8869.74,5892.85
2115.6538,4261.458,1224.524,9425.35,5741.51
2155.8853,4388.808,1239.914,9863.5,6058.91
2186.1274,4526.584,1225.627,9709.31,5627.64
2219.1887,4557.214,1223.353,10526.96,5498.77
2175.7839,4593.986,1249.231,10291.24,5735.06
2200.1199,4711.088,1249.329,10045.6,5920.55
2297.575,4920.42,1257.31,10043.61,5904.26
2377.749,5006.645,1240.668,10048.86,5812.55
2338.2468,5012.762,1238.032,9137.56,5999.78
2265.7498,4938.935,1263.882,8424.63,6332.53
2299.7136,4861.754,1292.921,8978.24,6067.4
2385.7202,5121.858,1300.737,9373.8,6687.84
2423.6694,5323.1,1315.127,9478.84,7330.34
2322.344,5148.058,1366.374,8619.15,7059.31
2306.2324,5032.188,1373.681,8185.75,7466.3
2167.9009,4567.322,1418.604,8101.79,7464.4
2097.4751,4632.758,1446.274,7813.51,8304.77
2088.4182,4584.013,1470.205,8300.4,8207.26
2190.1306,4832.824,1434.234,8786.74,8860.93
2218.4985,4879.885,1412.854,8854.47,9667.6
2031.4713,4480.769,1434.325,7891.5,10560
2014.3944,4336.958,1448.221,8165.42,9267.7
2043.532,4161.209,1473.892,8345.81,8609.5
1861.4384,3559.54,1465.126,8329.68,7538.3
1548.8136,2841.285,1446.687,5691.82,5412.6
1437.6792,2687.712,1572.943,4379.55,4609.3
1452.9764,2849.302,1635.389,5097.46,3995.4
1330.5103,2569.692,1595.568,4215.2,3638.2
1188.8405,2306.059,1585.328,3337.41,3416.3
1292.9772,2452.208,1639.041,3472.97,3570.2
1416.73,2766.19,1597.761,4550.27,3537.4
1495.97,3093.447,1566.601,4648.41,4233.1
1498.9399,3075.853,1557.048,4474.92,4257.2
1612.3101,3356.682,1570.86,4943.57,4276.1
1670.52,3539.146,1588.346,5605.49,4175
1732.86,3674.654,1603.576,5963.97,4182.2
1700.67,3628.736,1607.543,5695.33,4427.8
1802.6801,3701.39,1642.747,6088.91,4495.3
